Symbol,Company,Sector,Industry,CIK
MMM,3M,Industrials,Industrial Conglomerates,66740
AOS,A. O. Smith,Industrials,Building Products,91142
ABT,Abbott,Health Care,Health Care Equipment,1800
ABBV,AbbVie,Health Care,Pharmaceuticals,1551152
ABMD,Abiomed,Health Care,Health Care Equipment,815094
ACN,Accenture,Information Technology,IT Consulting & Other Services,1467373
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,718877
ADM,ADM,Consumer Staples,Agricultural Products,7084
ADBE,Adobe Inc.,Information Technology,Application Software,796343
ADP,ADP,Information Technology,Data Processing & Outsourced Services,8670
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,1158449
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,874761
AFL,Aflac,Financials,Life & Health Insurance,4977
A,Agilent Technologies,Health Care,Health Care Equipment,1090872
APD,Air Products and Chemicals,Materials,Industrial Gases,2969
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,1086222
ALK,Alaska Air Group,Industrials,Airlines,766421
ALB,Albemarle Corporation,Materials,Specialty Chemicals,915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1035443
ALGN,Align Technology,Health Care,Health Care Supplies,1097149
ALLE,Allegion,Industrials,Building Products,1579241
LNT,Alliant Energy,Utilities,Electric Utilities,352541
ALL,Allstate,Financials,Property & Casualty Insurance,899051
GOOGL,Alphabet Inc.�(Class A),Communication Services,Interactive Media & Services,1652044
GOOG,Alphabet Inc.�(Class C),Communication Services,Interactive Media & Services,1652044
MO,Altria,Consumer Staples,Tobacco,764180
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,1018724
AMCR,Amcor,Materials,Paper Packaging,1748790
AMD,AMD,Information Technology,Semiconductors,2488
AEE,Ameren,Utilities,Multi-Utilities,1002910
AAL,American Airlines Group,Industrials,Airlines,6201
AEP,American Electric Power,Utilities,Electric Utilities,4904
AXP,American Express,Financials,Consumer Finance,4962
AIG,American International Group,Financials,Property & Casualty Insurance,5272
AMT,American Tower,Real Estate,Specialized REITs,1053507
AWK,American Water Works,Utilities,Water Utilities,1410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,820027
ABC,AmerisourceBergen,Health Care,Health Care Distributors,1140859
AME,Ametek,Industrials,Electrical Components & Equipment,1037868
AMGN,Amgen,Health Care,Biotechnology,318154
APH,Amphenol,Information Technology,Electronic Components,820313
ADI,Analog Devices,Information Technology,Semiconductors,6281
ANSS,Ansys,Information Technology,Application Software,1013462
AON,Aon,Financials,Insurance Brokers,315293
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,6769
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",320193
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,6951
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,1521332
ANET,Arista Networks,Information Technology,Communications Equipment,1596532
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,354190
AIZ,Assurant,Financials,Multi-line Insurance,1267238
T,AT&T,Communication Services,Integrated Telecommunication Services,732717
ATO,Atmos Energy,Utilities,Gas Utilities,731802
ADSK,Autodesk,Information Technology,Application Software,769397
AZO,AutoZone,Consumer Discretionary,Specialty Stores,866787
AVB,AvalonBay Communities,Real Estate,Residential REITs,915912
AVY,Avery Dennison,Materials,Paper Packaging,8818
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,1701605
BALL,Ball Corporation,Materials,Metal & Glass Containers,9389
BAC,Bank of America,Financials,Diversified Banks,70858
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,701985
BAX,Baxter International,Health Care,Health Care Equipment,10456
BDX,Becton Dickinson,Health Care,Health Care Equipment,10795
WRB,Berkley,Financials,Property & Casualty Insurance,11544
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1067983
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,764478
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,12208
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,842023
BIIB,Biogen,Health Care,Biotechnology,875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,1364742
BK,BNY Mellon,Financials,Asset Management & Custody Banks,1390777
BA,Boeing,Industrials,Aerospace & Defense,12927
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,1075531
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,908255
BXP,Boston Properties,Real Estate,Office REITs,1037540
BSX,Boston Scientific,Health Care,Health Care Equipment,885725
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,14272
AVGO,Broadcom Inc.,Information Technology,Semiconductors,1730168
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,1383312
BRO,Brown & Brown,Financials,Insurance Brokers,79282
BF.B,Brown�Forman,Consumer Staples,Distillers & Vintners,14693
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,1043277
CDNS,Cadence Design Systems,Information Technology,Application Software,813672
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,1590895
CPT,Camden Property Trust,Real Estate,Residential REITs,906345
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,16732
COF,Capital One,Financials,Consumer Finance,927628
CAH,Cardinal Health,Health Care,Health Care Distributors,721371
KMX,CarMax,Consumer Discretionary,Specialty Stores,1170010
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",815097
CARR,Carrier Global,Industrials,Building Products,1783180
CTLT,Catalent,Health Care,Pharmaceuticals,1596783
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,18230
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1374310
CBRE,CBRE Group,Real Estate,Real Estate Services,1138118
CDW,CDW,Information Technology,Technology Distributors,1402057
CE,Celanese,Materials,Specialty Chemicals,1306830
CNC,Centene Corporation,Health Care,Managed Health Care,1071739
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1130310
CDAY,Ceridian,Information Technology,Application Software,1725057
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1324404
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1100682
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,316709
CHTR,Charter Communications,Communication Services,Cable & Satellite,1091667
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,1058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,896159
CHD,Church & Dwight,Consumer Staples,Household Products,313927
CI,Cigna,Health Care,Managed Health Care,1739940
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,20286
CTAS,Cintas,Industrials,Diversified Support Services,723254
CSCO,Cisco,Information Technology,Communications Equipment,858877
C,Citigroup,Financials,Diversified Banks,831001
CFG,Citizens Financial Group,Financials,Regional Banks,759944
CTXS,Citrix,Information Technology,Application Software,877890
CLX,Clorox,Consumer Staples,Household Products,21076
CME,CME Group,Financials,Financial Exchanges & Data,1156375
CMS,CMS Energy,Utilities,Multi-Utilities,811156
KO,The Coca-Cola Company,Consumer Staples,Soft Drinks,21344
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,1058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,21665
CMCSA,Comcast,Communication Services,Cable & Satellite,1166691
CMA,Comerica,Financials,Diversified Banks,28412
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,23217
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1163165
ED,Consolidated Edison,Utilities,Electric Utilities,1047862
