contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GME220701C00040000,2022-06-10 15:29:48+00:00,40.0,87.28,94.4,99.05,0.0,0.0,,0,5.7500028125,True,REGULAR,USD
GME220701C00060000,2022-06-02 16:19:47+00:00,60.0,70.37,74.4,78.2,0.0,0.0,1.0,0,3.7050788623046875,True,REGULAR,USD
GME220701C00065000,2022-06-02 16:19:47+00:00,65.0,65.43,69.4,74.05,0.0,0.0,1.0,0,3.6455086987304695,True,REGULAR,USD
GME220701C00070000,2022-06-21 19:28:06+00:00,70.0,68.21,64.4,68.35,-1.5400009,-2.2078867,3.0,3,3.1308615478515627,True,REGULAR,USD
GME220701C00075000,2022-06-15 14:51:08+00:00,75.0,51.17,59.4,64.05,0.0,0.0,1.0,0,3.032228981933594,True,REGULAR,USD
GME220701C00080000,2022-06-21 19:28:06+00:00,80.0,62.69,54.4,57.9,2.9399986,4.9205,2.0,3,2.4619179077148434,True,REGULAR,USD
GME220701C00085000,2022-06-09 14:00:12+00:00,85.0,53.5,49.4,53.3,0.0,0.0,2.0,3,2.323246379394531,True,REGULAR,USD
GME220701C00090000,2022-06-21 16:18:27+00:00,90.0,51.94,44.45,49.05,0.0,0.0,1.0,0,2.253422335205078,True,REGULAR,USD
GME220701C00095000,2022-06-23 19:53:15+00:00,95.0,46.2,39.5,42.75,0.0,0.0,20.0,20,1.7646496142578125,True,REGULAR,USD
GME220701C00100000,2022-06-24 18:43:25+00:00,100.0,32.65,34.6,37.65,-8.549999,-20.752426,37.0,44,1.5556662841796873,True,REGULAR,USD
GME220701C00105000,2022-06-22 19:36:12+00:00,105.0,32.4,29.55,32.9,0.0,0.0,8.0,26,1.3916046044921875,True,REGULAR,USD
GME220701C00110000,2022-06-24 13:37:32+00:00,110.0,33.32,25.0,28.2,3.2199993,10.697672,10.0,194,1.3056675341796873,True,REGULAR,USD
GME220701C00115000,2022-06-24 17:17:37+00:00,115.0,19.14,20.4,23.35,-4.66,-19.579832,8.0,129,1.1657756555175784,True,REGULAR,USD
GME220701C00117000,2022-06-21 14:44:00+00:00,117.0,29.01,18.55,21.75,0.21999931,0.7641518,1.0,2,1.1416058544921874,True,REGULAR,USD
GME220701C00118000,2022-06-22 16:47:50+00:00,118.0,26.63,17.75,20.85,0.0,0.0,1.0,6,1.129398884277344,True,REGULAR,USD
GME220701C00120000,2022-06-24 19:31:11+00:00,120.0,16.38,16.05,19.0,-6.59,-28.689596,205.0,319,1.083988955078125,True,REGULAR,USD
GME220701C00121000,2022-06-24 18:49:21+00:00,121.0,15.2,15.2,18.3,-9.2699995,-37.88312,1.0,39,1.080326864013672,True,REGULAR,USD
GME220701C00122000,2022-06-24 19:53:33+00:00,122.0,15.9,15.2,17.35,-9.1,-36.4,4.0,3,1.126957490234375,True,REGULAR,USD
GME220701C00123000,2022-06-24 18:57:26+00:00,123.0,12.34,13.65,16.5,-8.02,-39.390965,5.0,32,1.0429735351562504,True,REGULAR,USD
GME220701C00124000,2022-06-22 15:25:03+00:00,124.0,24.0,13.05,15.75,0.0,0.0,1.0,3,1.0488328808593752,True,REGULAR,USD
GME220701C00125000,2022-06-24 19:52:12+00:00,125.0,12.1,13.35,14.95,-7.3199997,-37.6931,82.0,87,1.1193891687011717,True,REGULAR,USD
GME220701C00126000,2022-06-15 15:10:38+00:00,126.0,13.32,12.05,14.6,0.0,0.0,,4,1.0932662524414063,True,REGULAR,USD
