Symbol,Sector
FEAM,Basic Materials
ASIX,Basic Materials
AEM,Basic Materials
APD,Basic Materials
AGI,Basic Materials
ALB,Basic Materials
AA,Basic Materials
AXU,Basic Materials
ASTL,Basic Materials
AAU,Basic Materials
AMR,Basic Materials
ALTO,Basic Materials
ACH,Basic Materials
AREC,Basic Materials
AVD,Basic Materials
USAS,Basic Materials
AMRS,Basic Materials
AU,Basic Materials
RKDA,Basic Materials
MT,Basic Materials
ASH,Basic Materials
AUST,Basic Materials
AVTR,Basic Materials
AVNT,Basic Materials
ASM,Basic Materials
AXTA,Basic Materials
BTG,Basic Materials
BCPC,Basic Materials
GOLD,Basic Materials
BHIL,Basic Materials
BHP,Basic Materials
BIOX,Basic Materials
BCC,Basic Materials
BAK,Basic Materials
CBT,Basic Materials
CMCL,Basic Materials
CE,Basic Materials
CPAC,Basic Materials
CX,Basic Materials
CGAU,Basic Materials
CENX,Basic Materials
CF,Basic Materials
CCF,Basic Materials
CLW,Basic Materials
CLF,Basic Materials
CDE,Basic Materials
CMC,Basic Materials
SID,Basic Materials
BVN,Basic Materials
CMP,Basic Materials
CSTM,Basic Materials
CMT,Basic Materials
CTVA,Basic Materials
CRH,Basic Materials
CRKN,Basic Materials
DNMR,Basic Materials
DOW,Basic Materials
DRD,Basic Materials
DD,Basic Materials
EXP,Basic Materials
EMN,Basic Materials
ECL,Basic Materials
ECVT,Basic Materials
EGO,Basic Materials
ELBM,Basic Materials
ESI,Basic Materials
EMX,Basic Materials
EXK,Basic Materials
EVA,Basic Materials
EQX,Basic Materials
ERO,Basic Materials
GSM,Basic Materials
AG,Basic Materials
FMC,Basic Materials
FSM,Basic Materials
FNV,Basic Materials
FCX,Basic Materials
FRD,Basic Materials
FURY,Basic Materials
FF,Basic Materials
GAU,Basic Materials
GATO,Basic Materials
GCP,Basic Materials
GGB,Basic Materials
GEVO,Basic Materials
AUMN,Basic Materials
GFI,Basic Materials
GLDG,Basic Materials
GORO,Basic Materials
GROY,Basic Materials
GSV,Basic Materials
GPL,Basic Materials
GPRE,Basic Materials
GURE,Basic Materials
HMY,Basic Materials
HWKN,Basic Materials
FUL,Basic Materials
HL,Basic Materials
HUDI,Basic Materials
HBM,Basic Materials
HDSN,Basic Materials
HUN,Basic Materials
HYMC,Basic Materials
IAUX,Basic Materials
IAG,Basic Materials
NGVT,Basic Materials
IOSP,Basic Materials
ITRG,Basic Materials
IFF,Basic Materials
IPI,Basic Materials
ICL,Basic Materials
JHX,Basic Materials
JCTCF,Basic Materials
KALU,Basic Materials
KGC,Basic Materials
KOP,Basic Materials
KRO,Basic Materials
LGO,Basic Materials
LWLG,Basic Materials
LIN,Basic Materials
LAC,Basic Materials
LTHM,Basic Materials
LOMA,Basic Materials
LOOP,Basic Materials
LXU,Basic Materials
LYB,Basic Materials
MAG,Basic Materials
MBII,Basic Materials
MLM,Basic Materials
MTRN,Basic Materials
MMX,Basic Materials
MUX,Basic Materials
MERC,Basic Materials
MSB,Basic Materials
MTA,Basic Materials
MEOH,Basic Materials
MTX,Basic Materials
MP,Basic Materials
NP,Basic Materials
NFGC,Basic Materials
NGD,Basic Materials
NEU,Basic Materials
NEM,Basic Materials
NEWP,Basic Materials
NEXA,Basic Materials
NAK,Basic Materials
NTIC,Basic Materials
NMG,Basic Materials
NG,Basic Materials
NUE,Basic Materials
NTR,Basic Materials
ODC,Basic Materials
OLN,Basic Materials
ZEUS,Basic Materials
SEED,Basic Materials
ORGN,Basic Materials
OEC,Basic Materials
ORLA,Basic Materials
ODV,Basic Materials
OR,Basic Materials
PAAS,Basic Materials
PZG,Basic Materials
PRM,Basic Materials
PPTA,Basic Materials
GLT,Basic Materials
PLL,Basic Materials
PDO,Basic Materials
PLG,Basic Materials
PLM,Basic Materials
PKX,Basic Materials
PPG,Basic Materials
KWR,Basic Materials
METC,Basic Materials
RYAM,Basic Materials
RS,Basic Materials
RFP,Basic Materials
RETO,Basic Materials
REX,Basic Materials
RIO,Basic Materials
RGLD,Basic Materials
RPM,Basic Materials
SAND,Basic Materials
SSL,Basic Materials
SCHN,Basic Materials
SWM,Basic Materials
SA,Basic Materials
SXT,Basic Materials
SBSW,Basic Materials
SMTS,Basic Materials
SGML,Basic Materials
SVM,Basic Materials
SILV,Basic Materials
SKE,Basic Materials
SMID,Basic Materials
LITM,Basic Materials
SQM,Basic Materials
SCCO,Basic Materials
SSRM,Basic Materials
SLI,Basic Materials
STLD,Basic Materials
SCL,Basic Materials
SUM,Basic Materials
SXC,Basic Materials
SUZ,Basic Materials
SLVM,Basic Materials
SYNL,Basic Materials
TRX,Basic Materials
TGB,Basic Materials
TECK,Basic Materials
TGLS,Basic Materials
TX,Basic Materials
CC,Basic Materials
MOS,Basic Materials
SMG,Basic Materials
SHW,Basic Materials
TMST,Basic Materials
TMC,Basic Materials
TREC,Basic Materials
TMQ,Basic Materials
TSE,Basic Materials
TROX,Basic Materials
TRQ,Basic Materials
UAMY,Basic Materials
USLM,Basic Materials
X,Basic Materials
UNVR,Basic Materials
UFPI,Basic Materials
USAU,Basic Materials
VALE,Basic Materials
VHI,Basic Materials
VNTR,Basic Materials
VZLA,Basic Materials
VMC,Basic Materials
HCC,Basic Materials
WDFC,Basic Materials
WRN,Basic Materials
WFG,Basic Materials
WLK,Basic Materials
WWR,Basic Materials
WPM,Basic Materials
AUY,Basic Materials
YTEN,Basic Materials
ZY,Basic Materials
ATVI,Communication Services
ATY,Communication Services
ADTH,Communication Services
ADV,Communication Services
MIMO,Communication Services
GOOG,Communication Services
GOOGL,Communication Services
ATUS,Communication Services
AMC,Communication Services
AMCX,Communication Services
AMX,Communication Services
ANGH,Communication Services
ANGI,Communication Services
ATEX,Communication Services
AREN,Communication Services
ASTS,Communication Services
ATNI,Communication Services
T,Communication Services
AUD,Communication Services
ATHM,Communication Services
AUTO,Communication Services
AVID,Communication Services
BIDU,Communication Services
BCE,Communication Services
BODY,Communication Services
BBGI,Communication Services
BILI,Communication Services
BLCT,Communication Services
BOC,Communication Services
BOWL,Communication Services
BZFD,Communication Services
CABO,Communication Services
CDLX,Communication Services
CARG,Communication Services
LUMN,Communication Services
CHTR,Communication Services
CMCM,Communication Services
CSSE,Communication Services
CNET,Communication Services
CHT,Communication Services
CMPR,Communication Services
CIDM,Communication Services
CNK,Communication Services
CCO,Communication Services
CCOI,Communication Services
CSCW,Communication Services
CMCSA,Communication Services
SCOR,Communication Services
COMS,Communication Services
CNSL,Communication Services
CRTD,Communication Services
CXDO,Communication Services
