AFL,Aflac Incorporated,NYQ,Accident & Health Insurance,USA
AIZ,"Assurant, Inc.",NYQ,Accident & Health Insurance,USA
CNO,"CNO Financial Group, Inc.",NYQ,Accident & Health Insurance,USA
EIG,"Employers Holdings, Inc.",NYQ,Accident & Health Insurance,USA
FAC,First Acceptance Corporation,NYQ,Accident & Health Insurance,USA
GLRE,"Greenlight Capital Re, Ltd.",NMS,Accident & Health Insurance,USA
GTS,Triple-S Management Corporation,NYQ,Accident & Health Insurance,USA
PRA,ProAssurance Corporation,NYQ,Accident & Health Insurance,USA
TRUP,"Trupanion, Inc.",NGM,Accident & Health Insurance,USA
UNM,Unum Group,NYQ,Accident & Health Insurance,USA
CNET,"ChinaNet Online Holdings, Inc.",NCM,Advertising Agencies,USA
FUEL,Rocket Fuel Inc.,NMS,Advertising Agencies,USA
IPG,"The Interpublic Group of Companies, Inc.",NYQ,Advertising Agencies,USA
NMED,"New Media Insight Group, Inc.",PNK,Advertising Agencies,USA
OMC,Omnicom Group Inc.,NYQ,Advertising Agencies,USA
RVUE,"rVue Holdings, Inc.",PNK,Advertising Agencies,USA
VEND,"Generation Next Franchise Brands, Inc.",PNK,Advertising Agencies,USA
YUME,"YuMe, Inc.",NYQ,Advertising Agencies,USA
AJRD,"Aerojet Rocketdyne Holdings, Inc.",NYQ,Aerospace/Defense - Major Diversified,USA
CSAX,"CSA Holdings, Inc.",PNK,Aerospace/Defense - Major Diversified,USA
MICT,"Micronet Enertec Technologies, Inc.",NCM,Aerospace/Defense - Major Diversified,USA
NOC,Northrop Grumman Corporation,NYQ,Aerospace/Defense - Major Diversified,USA
RADA,RADA Electronic Industries Ltd.,NCM,Aerospace/Defense - Major Diversified,USA
TIK,Tel-Instrument Electronics Corp.,ASE,Aerospace/Defense - Major Diversified,USA
TXT,Textron Inc.,NYQ,Aerospace/Defense - Major Diversified,USA
ACFN,"Acorn Energy, Inc.",PNK,Aerospace/Defense Products & Services,USA
AIR,AAR Corp.,NYQ,Aerospace/Defense Products & Services,USA
AIRI,Air Industries Group,ASE,Aerospace/Defense Products & Services,USA
ASTC,Astrotech Corporation,NCM,Aerospace/Defense Products & Services,USA
ATRO,Astronics Corporation,NMS,Aerospace/Defense Products & Services,USA
