,Ticker,Name,Exchange,Sector,Country
0,AFL,Aflac Incorporated,NYQ,Financial Services,USA
1,AIZ,"Assurant, Inc.",NYQ,Financial Services,USA
2,CNO,"CNO Financial Group, Inc.",NYQ,Financial Services,USA
3,EIG,"Employers Holdings, Inc.",NYQ,Financial Services,USA
4,FAC,First Acceptance Corporation,NYQ,Accident & Health Insurance,USA
5,GLRE,"Greenlight Capital Re, Ltd.",NMS,Financial Services,USA
6,GTS,Triple-S Management Corporation,NYQ,Accident & Health Insurance,USA
7,PRA,ProAssurance Corporation,NYQ,Financial Services,USA
8,TRUP,"Trupanion, Inc.",NGM,Financial Services,USA
9,UNM,Unum Group,NYQ,Financial Services,USA
10,CNET,"ChinaNet Online Holdings, Inc.",NCM,Communication Services,USA
11,FUEL,Rocket Fuel Inc.,NMS,Advertising Agencies,USA
12,IPG,"The Interpublic Group of Companies, Inc.",NYQ,Communication Services,USA
13,NMED,"New Media Insight Group, Inc.",PNK,Advertising Agencies,USA
14,OMC,Omnicom Group Inc.,NYQ,Communication Services,USA
15,RVUE,"rVue Holdings, Inc.",PNK,Advertising Agencies,USA
16,VEND,"Generation Next Franchise Brands, Inc.",PNK,Advertising Agencies,USA
17,YUME,"YuMe, Inc.",NYQ,Advertising Agencies,USA
18,AJRD,"Aerojet Rocketdyne Holdings, Inc.",NYQ,Industrials,USA
19,CSAX,"CSA Holdings, Inc.",PNK,Aerospace/Defense - Major Diversified,USA
20,MICT,"Micronet Enertec Technologies, Inc.",NCM,Technology,USA
21,NOC,Northrop Grumman Corporation,NYQ,Industrials,USA
22,RADA,RADA Electronic Industries Ltd.,NCM,Industrials,USA
23,TIK,Tel-Instrument Electronics Corp.,ASE,Aerospace/Defense - Major Diversified,USA
24,TXT,Textron Inc.,NYQ,Industrials,USA
25,ACFN,"Acorn Energy, Inc.",PNK,Technology,USA
26,AIR,AAR Corp.,NYQ,Industrials,USA
27,AIRI,Air Industries Group,ASE,Industrials,USA
28,ASTC,Astrotech Corporation,NCM,Industrials,USA
29,ATRO,Astronics Corporation,NMS,Industrials,USA
30,AVAV,"AeroVironment, Inc.",NMS,Industrials,USA
31,BA,The Boeing Company,NYQ,Industrials,USA
32,BUKS,Butler National Corporation,PNK,Industrials,USA
33,BWXT,"BWX Technologies, Inc.",NYQ,Industrials,USA
34,CAE,CAE Inc.,NYQ,Industrials,USA
35,COL,"Rockwell Collins, Inc.",NYQ,Aerospace/Defense Products & Services,USA
36,CVU,"CPI Aerostructures, Inc.",ASE,Industrials,USA
37,CYIO,CYIOS Corporation,PNK,Financial Services,USA
38,DCO,Ducommun Incorporated,NYQ,Industrials,USA
39,DGI,"DigitalGlobe, Inc.",NYQ,Aerospace/Defense Products & Services,USA
40,ERJ,Embraer S.A.,NYQ,Industrials,USA
41,ESL,Esterline Technologies Corporation,NYQ,Aerospace/Defense Products & Services,USA
42,GD,General Dynamics Corporation,NYQ,Industrials,USA
43,HEI,HEICO Corporation,NYQ,Industrials,USA
44,HEI-A,HEICO Corporation,NYQ,Industrials,USA
45,HII,"Huntington Ingalls Industries, Inc.",NYQ,Industrials,USA
46,HXL,Hexcel Corporation,NYQ,Industrials,USA
47,ISSC,"Innovative Solutions and Support, Inc.",NMS,Industrials,USA
48,KAMN,Kaman Corporation,NYQ,Industrials,USA
49,KLXI,KLX Inc.,NMS,Aerospace/Defense Products & Services,USA
50,LLL,"L3 Technologies, Inc.",NYQ,Consumer Cyclical,USA
51,LMT,Lockheed Martin Corporation,NYQ,Industrials,USA
52,MLER,"Moller International, Inc.",PNK,Aerospace/Defense Products & Services,USA
53,MOG-A,Moog Inc.,NYQ,Industrials,USA
54,NPK,"National Presto Industries, Inc.",NYQ,Industrials,USA
55,OA,"Orbital ATK, Inc.",NYQ,Aerospace/Defense Products & Services,USA
56,PIVN,"Phoenix International Ventures, Inc.",PNK,Aerospace/Defense Products & Services,USA
57,RGR,"Sturm, Ruger & Company, Inc.",NYQ,Industrials,USA
58,RTN,Raytheon Company,NYQ,Aerospace/Defense Products & Services,USA
59,SPR,"Spirit AeroSystems Holdings, Inc.",NYQ,Industrials,USA
60,TATT,"TAT Technologies, Ltd.",NGM,Industrials,USA
61,TDG,TransDigm Group Incorporated,NYQ,Industrials,USA
62,TGI,"Triumph Group, Inc.",NYQ,Industrials,USA
63,TPAC,"Trans-Pacific Aerospace Company, Inc.",PNK,Aerospace/Defense Products & Services,USA
64,USAE,"U.S. Aerospace, Inc.",PNK,Aerospace/Defense Products & Services,USA
65,UTX,United Technologies Corporation,NYQ,Aerospace/Defense Products & Services,USA
66,WWD,"Woodward, Inc.",NMS,Industrials,USA
